Gene.ID,Gene.Name,Undifferentiated ,Differentiated,FDR,AveExpr,P value,SRR3133925_nodiff_rep1,SRR3133926_nodiff_rep2,SRR3133927_nodiff_rep3,SRR3133928_diff_rep1,SRR3133929_diff_rep2,SRR3133930_diff_rep3,SRR3133925_nodiff_rep1 CPM,SRR3133926_nodiff_rep2 CPM,SRR3133927_nodiff_rep3 CPM,SRR3133928_diff_rep1 CPM,SRR3133929_diff_rep2 CPM,SRR3133930_diff_rep3 CPM
ENSG00000143320,CRABP2,0,5.48623267902041,0.00000210732376718262,6.01300333098497,2.92277915004525e-10,194,206,195,9118,9570,9315,8.889,9.959,10.340,452.575,409.844,423.944
ENSG00000165895,ARHGAP42,0,4.50016538698033,0.00000210732376718262,5.34523525572428,2.75725856894579e-10,190,191,148,3573,4673,4389,8.706,9.234,7.848,177.347,200.126,199.752
ENSG00000075213,SEMA3A,0,4.16460991499681,0.0000036848490561803,6.52838112612077,7.66612147610325e-10,515,406,430,7799,8481,9122,23.598,19.628,22.801,387.106,363.207,415.160
ENSG00000181541,MAB21L2,0,3.2783147746688,0.00000405617109354743,5.2137386404522,1.12515148226004e-9,260,237,238,2290,2688,2529,11.914,11.458,12.620,113.665,115.116,115.100
ENSG00000100095,SEZ6L,0,-3.43184972311773,0.00000428284035738239,5.72657235661333,1.4850347979828e-9,4012,3629,3163,277,388,390,183.835,175.441,167.718,13.749,16.616,17.750
ENSG00000124260,MAGEA10,0,5.88108624951266,0.00000436769259902527,3.29852914201649,1.84895694556889e-9,30,25,23,1483,1723,1708,1.375,1.209,1.220,73.609,73.789,77.734
ENSG00000164946,FREM1,0,3.70673459666263,0.00000436769259902527,4.80337939754439,2.12023912574042e-9,165,171,141,2006,2452,2110,7.561,8.267,7.477,99.568,105.009,96.030
ENSG00000183654,MARCH11,0,-3.10595077610786,0.00000637133460993979,4.99232232871814,3.97656112964342e-9,2155,1910,1731,188,255,266,98.745,92.337,91.786,9.331,10.921,12.106
ENSG00000261115,TMEM178B,0,-4.14242293499245,0.00000637133460993979,4.31571283743523,3.84097027893377e-9,1865,1713,1618,75,129,108,85.457,82.813,85.795,3.723,5.525,4.915
ENSG00000171551,ECEL1,0,6.12092915937679,0.00000708670124076551,5.76538558226251,6.38884300485101e-9,193,146,83,9064,10772,9861,8.844,7.058,4.401,449.894,461.321,448.793
ENSG00000121440,PDZRN3,0,3.07351735427627,0.00000708670124076551,5.22323862730515,5.40827573559554e-9,270,268,256,2237,2536,2261,12.372,12.956,13.574,111.034,108.607,102.903
ENSG00000152377,SPOCK1,0,3.67388960474212,0.00000708670124076551,4.83425897264991,6.19679769219111e-9,148,175,171,1926,2498,2204,6.782,8.460,9.067,95.598,106.979,100.308
ENSG00000184254,ALDH1A3,0,3.06474608619582,0.00000708670124076551,5.9383375267073,5.21692005365103e-9,466,470,377,3595,4356,3605,21.353,22.722,19.990,178.439,186.550,164.071
ENSG00000143869,GDF7,0,-3.9350983108232,0.00000782485864071128,3.96015328020639,8.12911994134721e-9,1439,1265,1073,81,97,80,65.937,61.155,56.896,4.020,4.154,3.641
ENSG00000255690,TRIL,0,2.41687275134846,0.00000782485864071128,6.54339602958406,8.13958943208525e-9,905,844,748,4006,5566,4539,41.468,40.802,39.663,198.839,238.369,206.579
ENSG00000019991,HGF,0,7.85452234049534,0.0000103291981833699,3.40342673700158,1.14609688581081e-8,14,10,19,3224,3886,3319,0.641,0.483,1.007,160.024,166.422,151.054
ENSG00000074211,PPP2R2C,0,-3.01120889736025,0.0000105032653175731,4.84481845418334,1.31108721023798e-8,1829,1791,1456,168,260,236,83.807,86.584,77.205,8.339,11.135,10.741
ENSG00000135111,TBX3,0,-4.14269200932293,0.0000105032653175731,6.3666803585826,1.25650915120926e-8,9128,7182,5574,333,483,471,418.257,347.207,295.562,16.529,20.685,21.436
